year,dmstc_mtrl_cnsmptn,dmstc_mtrl_cnsmptn_pr_cpt,dmstc_mtrl_cnsmptn_pct_gdp
2000,2453.2,8687.0,23.93
2001,2525.6,8854.8,23.87
2002,2598.8,9025.0,23.76
2003,2722.6,9368.1,23.76
2004,2902.0,9895.6,23.76
2005,3082.9,10415.4,23.65
2006,3239.7,10841.7,23.45
2007,3367.0,11160.2,23.30
2008,3363.2,11043.4,22.86
2009,3180.0,10350.2,22.01
2010,3317.8,10710.2,22.13
2011,3518.1,11274.8,22.64
2012,3637.7,11575.6,22.46
2013,3730.0,11788.1,22.22
2014,3861.5,12115.8,22.04
2015,3919.7,12209.9,21.51
2016,3996.3,12360.3,21.36
2017,4156.1,12771.9,21.33
2018,4338.8,13250.8,21.17