Year,SEX,AGE,Value
2009,M,Y_GE16,736
2010,M,Y_GE16,761
2011,M,Y_GE16,787
2012,M,Y_GE16,792
2013,M,Y_GE16,775
2014,M,Y_GE16,825
2015,M,Y_GE16,819
2016,M,Y_GE16,795
2017,M,Y_GE16,878
2018,M,Y_GE16,893
2019,M,Y_GE16,884
2020,M,Y_GE16,961
2021,M,Y_GE16,986
2022,M,Y_GE16,1077
2023,M,Y_GE16,1063
2009,M,Y16T19,327
2010,M,Y16T19,313
2011,M,Y16T19,359
2012,M,Y16T19,382
2013,M,Y16T19,339
2014,M,Y16T19,409
2015,M,Y16T19,332
2016,M,Y16T19,337
2017,M,Y16T19,453
2018,M,Y16T19,462
2019,M,Y16T19,476
2020,M,Y16T19,511
2021,M,Y16T19,539
2022,M,Y16T19,677
2023,M,Y16T19,682
2009,M,Y_GE20,742
2010,M,Y_GE20,766
2011,M,Y_GE20,788
2012,M,Y_GE20,795
2013,M,Y_GE20,777
2014,M,Y_GE20,832
2015,M,Y_GE20,823
2016,M,Y_GE20,799
2017,M,Y_GE20,882
2018,M,Y_GE20,903
2019,M,Y_GE20,891
2020,M,Y_GE20,970
2021,M,Y_GE20,991
2022,M,Y_GE20,1087
2023,M,Y_GE20,1070
2009,M,Y20T24,426
2010,M,Y20T24,410
2011,M,Y20T24,441
2012,M,Y20T24,448
2013,M,Y20T24,394
2014,M,Y20T24,397
2015,M,Y20T24,531
2016,M,Y20T24,472
2017,M,Y20T24,489
2018,M,Y20T24,484
2019,M,Y20T24,605
2020,M,Y20T24,583
2021,M,Y20T24,598
2022,M,Y20T24,653
2023,M,Y20T24,731
2009,M,Y_GE25,766
2010,M,Y_GE25,786
2011,M,Y_GE25,803
2012,M,Y_GE25,814
2013,M,Y_GE25,803
2014,M,Y_GE25,865
2015,M,Y_GE25,847
2016,M,Y_GE25,823
2017,M,Y_GE25,901
2018,M,Y_GE25,937
2019,M,Y_GE25,918
2020,M,Y_GE25,1002
2021,M,Y_GE25,1011
2022,M,Y_GE25,1123
2023,M,Y_GE25,1111
2009,M,Y25T34,627
2010,M,Y25T34,586
2011,M,Y25T34,677
2012,M,Y25T34,644
2013,M,Y25T34,626
2014,M,Y25T34,615
2015,M,Y25T34,694
2016,M,Y25T34,619
2017,M,Y25T34,717
2018,M,Y25T34,809
2019,M,Y25T34,747
2020,M,Y25T34,811
2021,M,Y25T34,886
2022,M,Y25T34,935
2023,M,Y25T34,905
2009,M,Y35T44,726
2010,M,Y35T44,795
2011,M,Y35T44,827
2012,M,Y35T44,831
2013,M,Y35T44,816
2014,M,Y35T44,902
2015,M,Y35T44,871
2016,M,Y35T44,791
2017,M,Y35T44,854
2018,M,Y35T44,937
2019,M,Y35T44,955
2020,M,Y35T44,981
2021,M,Y35T44,1030
2022,M,Y35T44,1127
2023,M,Y35T44,1248
2009,M,Y45T54,819
2010,M,Y45T54,783
2011,M,Y45T54,807
2012,M,Y45T54,832
2013,M,Y45T54,810
2014,M,Y45T54,908
2015,M,Y45T54,871
2016,M,Y45T54,853
2017,M,Y45T54,938
2018,M,Y45T54,965
2019,M,Y45T54,972
2020,M,Y45T54,1081
2021,M,Y45T54,1173
2022,M,Y45T54,1125
2023,M,Y45T54,1182
2009,M,Y55T64,847
2010,M,Y55T64,914
2011,M,Y55T64,874
2012,M,Y55T64,907
2013,M,Y55T64,892
2014,M,Y55T64,948
2015,M,Y55T64,920
2016,M,Y55T64,915
2017,M,Y55T64,971
2018,M,Y55T64,1008
2019,M,Y55T64,1004
2020,M,Y55T64,1090
2021,M,Y55T64,1016
2022,M,Y55T64,1232
2023,M,Y55T64,1169
2009,M,Y_GE65,695
2010,M,Y_GE65,658
2011,M,Y_GE65,759
2012,M,Y_GE65,738
2013,M,Y_GE65,803
2014,M,Y_GE65,755
2015,M,Y_GE65,804
2016,M,Y_GE65,894
2017,M,Y_GE65,957
2018,M,Y_GE65,892
2019,M,Y_GE65,933
2020,M,Y_GE65,1011
2021,M,Y_GE65,991
2022,M,Y_GE65,1098
2023,M,Y_GE65,1002
2009,F,Y_GE16,611
2010,F,Y_GE16,598
2011,F,Y_GE16,620
2012,F,Y_GE16,627
2013,F,Y_GE16,649
2014,F,Y_GE16,640
2015,F,Y_GE16,646
2016,F,Y_GE16,677
2017,F,Y_GE16,693
2018,F,Y_GE16,701
2019,F,Y_GE16,725
2020,F,Y_GE16,765
2021,F,Y_GE16,785
2022,F,Y_GE16,875
2023,F,Y_GE16,909
2009,F,Y16T19,292
2010,F,Y16T19,327
2011,F,Y16T19,432
2012,F,Y16T19,327
2013,F,Y16T19,393
2014,F,Y16T19,388
2015,F,Y16T19,346
2016,F,Y16T19,382
2017,F,Y16T19,346
2018,F,Y16T19,387
2019,F,Y16T19,563
2020,F,Y16T19,400
2021,F,Y16T19,544
2022,F,Y16T19,607
2023,F,Y16T19,515
2009,F,Y_GE20,613
2010,F,Y_GE20,601
2011,F,Y_GE20,620
2012,F,Y_GE20,629
2013,F,Y_GE20,650
2014,F,Y_GE20,640
2015,F,Y_GE20,651
2016,F,Y_GE20,680
2017,F,Y_GE20,695
2018,F,Y_GE20,705
2019,F,Y_GE20,726
2020,F,Y_GE20,768
2021,F,Y_GE20,794
2022,F,Y_GE20,879
2023,F,Y_GE20,914
2009,F,Y20T24,383
2010,F,Y20T24,432
2011,F,Y20T24,369
2012,F,Y20T24,388
2013,F,Y20T24,389
2014,F,Y20T24,414
2015,F,Y20T24,422
2016,F,Y20T24,452
2017,F,Y20T24,479
2018,F,Y20T24,566
2019,F,Y20T24,494
2020,F,Y20T24,539
2021,F,Y20T24,578
2022,F,Y20T24,680
2023,F,Y20T24,692
2009,F,Y_GE25,625
2010,F,Y_GE25,613
2011,F,Y_GE25,635
2012,F,Y_GE25,646
2013,F,Y_GE25,664
2014,F,Y_GE25,655
2015,F,Y_GE25,668
2016,F,Y_GE25,699
2017,F,Y_GE25,709
2018,F,Y_GE25,722
2019,F,Y_GE25,742
2020,F,Y_GE25,791
2021,F,Y_GE25,822
2022,F,Y_GE25,902
2023,F,Y_GE25,939
2009,F,Y25T34,498
2010,F,Y25T34,556
2011,F,Y25T34,561
2012,F,Y25T34,576
2013,F,Y25T34,567
2014,F,Y25T34,526
2015,F,Y25T34,577
2016,F,Y25T34,562
2017,F,Y25T34,649
2018,F,Y25T34,677
2019,F,Y25T34,667
2020,F,Y25T34,723
2021,F,Y25T34,750
2022,F,Y25T34,970
2023,F,Y25T34,900
2009,F,Y35T44,634
2010,F,Y35T44,681
2011,F,Y35T44,645
2012,F,Y35T44,602
2013,F,Y35T44,684
2014,F,Y35T44,655
2015,F,Y35T44,673
2016,F,Y35T44,729
2017,F,Y35T44,704
2018,F,Y35T44,764
2019,F,Y35T44,823
2020,F,Y35T44,793
2021,F,Y35T44,884
2022,F,Y35T44,920
2023,F,Y35T44,994
2009,F,Y45T54,646
2010,F,Y45T54,608
2011,F,Y45T54,646
2012,F,Y45T54,638
2013,F,Y45T54,682
2014,F,Y45T54,695
2015,F,Y45T54,675
2016,F,Y45T54,740
2017,F,Y45T54,735
2018,F,Y45T54,768
2019,F,Y45T54,748
2020,F,Y45T54,776
2021,F,Y45T54,859
2022,F,Y45T54,912
2023,F,Y45T54,1017
2009,F,Y55T64,665
2010,F,Y55T64,641
2011,F,Y55T64,672
2012,F,Y55T64,743
2013,F,Y55T64,731
2014,F,Y55T64,706
2015,F,Y55T64,670
2016,F,Y55T64,732
2017,F,Y55T64,740
2018,F,Y55T64,731
2019,F,Y55T64,764
2020,F,Y55T64,866
2021,F,Y55T64,843
2022,F,Y55T64,883
2023,F,Y55T64,910
2009,F,Y_GE65,628
2010,F,Y_GE65,561
2011,F,Y_GE65,575
2012,F,Y_GE65,593
2013,F,Y_GE65,668
2014,F,Y_GE65,571
2015,F,Y_GE65,736
2016,F,Y_GE65,660
2017,F,Y_GE65,696
2018,F,Y_GE65,694
2019,F,Y_GE65,709
2020,F,Y_GE65,785
2021,F,Y_GE65,803
2022,F,Y_GE65,765
2023,F,Y_GE65,827
